IUCN_species_name,common_name,family,genus,species,subspecies,diet_cat,diet_breadth,IUCN_category,mean_human_fp_range_2010,mean_human_fp_range_2020,percent_change_hf_2010_2020
Abrawayaomys chebezi,Chebez's spiny mouse,Cricetidae,Abrawayaomys,chebezi,NA,PlantSeed,1.279854226,DD,905.6728654,1318.700017,45.60445249
Abrawayaomys ruschii,Ruschi's rat,Cricetidae,Abrawayaomys,ruschii,NA,PlantSeed,1.279854226,LC,968.0478855,1300.234764,34.31512878
Aconaemys fuscus,Chilean rock rat,Octodontidae,Aconaemys,fuscus,NA,PlantSeed,0.673011667,LC,470.0171347,636.7003393,35.46321874
Aconaemys porteri,Porter's Rock Rat,Octodontidae,Aconaemys,porteri,NA,PlantSeed,0.673011667,DD,458.1791676,619.2294136,35.15005863
Aepeomys lugens,Olive montane mouse,Cricetidae,Aepeomys,lugens,NA,PlantSeed,1.279854226,LC,935.073811,1045.819066,11.84347738
Aepeomys reigi,Reig's montane mouse,Cricetidae,Aepeomys,reigi,NA,PlantSeed,1.279854226,VU,1108.673395,1186.775775,7.044669823
Alouatta arctoidea,Ursine howler,Atelidae,Alouatta,arctoidea,NA,PlantSeed,0.673011667,LC,890.8985565,1063.367335,19.35896931
Alouatta caraya,Black-and-gold Howler Monkey,Atelidae,Alouatta,caraya,NA,PlantSeed,0.673011667,NT,541.7462045,712.3989067,31.50048874
Alouatta guariba,Brown howler,Atelidae,Alouatta,guariba,NA,PlantSeed,0.673011667,LC,944.0493442,1245.116858,31.8910781
Alouatta juara,Juruá red howler,Atelidae,Alouatta,juara,NA,PlantSeed,0.673011667,LC,328.8717874,410.4809843,24.81489748
Alouatta macconnelli,Guyanan red howler,Atelidae,Alouatta,macconnelli,NA,PlantSeed,0.673011667,LC,124.4419117,176.040563,41.46404577
Alouatta palliata,Azuero howler,Atelidae,Alouatta ,palliata,trabeata,PlantSeed,0.673011667,EN,931.4985167,1129.181786,21.22207017
Alouatta palliata,Mexican howler,Atelidae,Alouatta ,palliata,mexicana,PlantSeed,0.673011667,EN,931.4985167,1129.181786,21.22207017
Alouatta palliata,Mantled howler monkey,Atelidae,Alouatta,palliata,NA,PlantSeed,0.673011667,LC,931.4985167,1129.181786,21.22207017
Alouatta pigra,Yucatán black howler,Atelidae,Alouatta,pigra,NA,PlantSeed,0.673011667,EN,620.2911446,818.5840713,31.96771846
Alouatta puruensis,Purús Red Howler Monkey,Atelidae,Alouatta,puruensis,NA,PlantSeed,0.673011667,LC,145.9613032,221.0937438,51.47421877
Alouatta sara,Bolivian Red Howler Monkey,Atelidae,Alouatta,sara,NA,PlantSeed,0.673011667,LC,330.2945532,466.3333319,41.18710933
Alouatta seniculus,Venezuelan red howler,Atelidae,Alouatta,seniculus,NA,PlantSeed,0.673011667,LC,356.3563552,447.9306564,25.69739528
Ametrida centurio,Little White-shouldered Bat,Phyllostomidae,Ametrida,centurio,NA,FruiNect,0,LC,286.7241487,388.554666,35.51515203
Amphinectomys savamis,Ucayali Water Rat,Cricetidae,Amphinectomys,savamis,NA,PlantSeed,1.279854226,DD,NA,NA,NA
Anotomys leander,Ecuador fish-eating rat,Cricetidae,Anotomys,leander,NA,PlantSeed,1.279854226,EN,NA,NA,NA
Anoura aequatoris,Equatorial tailless bat,Phyllostomidae,Anoura,aequatoris,NA,Omnivore,1.088899975,LC,541.8437318,696.2831269,28.50257112
Anoura cadenai,Cadena's tailless bat,Phyllostomidae,Anoura,cadenai,NA,Omnivore,1.088899975,DD,1127.338893,1315.882289,16.72464223
Anoura caudifer,Tailed tailless bat,Phyllostomidae,Anoura,caudifer,NA,Omnivore,1.088899975,LC,475.7478894,609.6594028,28.14757909
Anoura cultrata,Anoura cultrata,Phyllostomidae,Anoura,cultrata,NA,Omnivore,1.088899975,LC,751.2496877,909.1795735,21.02228971
Anoura fistulata,Tube-lipped nectar bat,Phyllostomidae,Anoura,fistulata,NA,Omnivore,1.088899975,DD,511.0355026,701.384692,37.24774275
Anoura geoffroyi,Geoffroy's tailless bat,Phyllostomidae,Anoura,geoffroyi,NA,Omnivore,1.088899975,LC,652.9711372,825.4589555,26.41584115
Anoura latidens,Broad-toothed Tailless Bat,Phyllostomidae,Anoura,latidens,NA,Omnivore,1.088899975,LC,615.6464994,728.7427355,18.37032067
Anoura luismanueli,Luis Manuel's tailless bat,Phyllostomidae,Anoura,luismanueli,NA,Omnivore,1.088899975,LC,964.4440793,1106.090515,14.68684795
Anoura peruana,NA,Phyllostomidae,Anoura,peruana,NA,Omnivore,1.088899975,LC,690.6618878,880.2083694,27.44417854
Aotus azarae,Azara's night monkey,Aotidae,Aotus,azarae,NA,Omnivore,1.748067349,LC,306.132174,451.3749199,47.44445642
Aotus brumbacki,Brumback's Night Monkey,Aotidae,Aotus,brumbacki,NA,Omnivore,1.748067349,VU,544.781015,744.0255371,36.57332333
Aotus griseimembra,Grey-handed Night Monkey,Aotidae,Aotus,griseimembra,NA,Omnivore,1.748067349,VU,1083.030439,1258.19564,16.17361754
Aotus jorgehernandezi,Hernández-Camacho's night monkey,Aotidae,Aotus,jorgehernandezi,NA,Omnivore,1.748067349,DD,361.4337259,381.3744645,5.517121734
