"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"1","Alexandrinus krameri","Psittacula","krameri","Rose-ringed Parakeet","Psittaciformes","Psittacidae",0,50,"FruiNect",1.220607265,370,430,430,NA,NA,34,NA,NA,0.75,7.6,"LC"
"2","Amazona finschi","Amazona","finschi","Lilac-crowned Amazon","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,305,345,345,NA,NA,25.8,NA,NA,46.74,13.44,"EN"
"3","Anodorhynchus glaucus","Anodorhynchus","glaucus","Hyacinth Macaw","Psittaciformes","Psittacidae",0,100,"FruiNect",0,NA,NA,720,NA,NA,22.7,NA,NA,3.45,10.4,"CR"
"4","Antilophia galeata","Antilophia","galeata","Helmeted Manakin","Passeriformes","Pipridae",40,60,"FruiNect",0.673011667,139,145,145,6.83,15.25,15.25,3.94,43.5,43.5,4.4,"LC"
"5","Ara rubrogenys","Ara","rubrogenys","Red-fronted Macaw","Psittaciformes","Psittacidae",0,10,"PlantSeed",0.897945725,550,600,600,NA,NA,23,NA,NA,50,12.7,"CR"
"6","Aramides wolfi","Aramides","wolfi","Brown Wood-rail","Gruiformes","Rallidae",70,10,"Invertebrate",0.940447989,330,360,360,NA,NA,NA,NA,NA,0.135,3.7,"VU"
"7","Aramides ypecaha","Aramides","ypecaha","Giant Wood-rail","Gruiformes","Rallidae",50,20,"Omnivore",1.029653014,410,450,450,NA,NA,NA,NA,NA,0.135,3.7,"LC"
"8","Arremon assimilis","Arremon","assimilis","Grey-browed Brush-finch","Passeriformes","Emberizidae",40,30,"Omnivore",1.088899975,190,200,200,NA,NA,NA,0.0013,0.0189,0.0189,3.8,"LC"
"9","Arremon flavirostris","Arremon","flavirostris","Saffron-billed Sparrow","Passeriformes","Emberizidae",30,40,"Omnivore",1.088899975,150,165,165,NA,NA,NA,NA,NA,0.0021,3.8,"LC"
"10","Arremonops rufivirgatus","Arremonops","rufivirgatus","Olive Sparrow","Passeriformes","Emberizidae",40,20,"Omnivore",1.054920168,135,150,150,NA,8.2,8.2,0.005,0.01,0.01,2.79,"LC"
"11","Attila phoenicurus","Attila","phoenicurus","Rufous-tailed Attila","Passeriformes","Tyrannidae",70,20,"Invertebrate",0.801818553,176,180,180,NA,NA,NA,NA,NA,0.0024,3.2,"LC"
"12","Attila spadiceus","Attila","spadiceus","Bright-rumped Attila","Passeriformes","Tyrannidae",50,10,"Omnivore",1.16828245,170,215,215,NA,NA,NA,NA,NA,0.12,3.2,"LC"
"13","Aulacorhynchus caeruleogularis","Aulacorhynchus","caeruleogularis","Blue-throated Toucanet","Piciformes","Ramphastidae",30,50,"Omnivore",1.16828245,290,370,370,NA,NA,11,NA,NA,0.002,7,"LC"
