"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"1","Alexandrinus krameri","Psittacula","krameri","Rose-ringed Parakeet","Psittaciformes","Psittacidae",0,50,"FruiNect",1.220607265,370,430,430,NA,NA,34,NA,NA,0.75,7.6,"LC"
"2","Alipiopsitta xanthops","Alipiopsitta","xanthops","Yellow-faced Amazon","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,270,NA,NA,22.7,NA,NA,NA,6.9,"NT"
"3","Amazona aestiva","Amazona","aestiva","Blue-fronted Amazon","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,370,49,70,70,NA,NA,NA,12.3,"NT"
"4","Amazona albifrons","Amazona","albifrons","White-fronted Amazon","Psittaciformes","Psittacidae",0,20,"PlantSeed",1.029653014,250,290,290,NA,NA,25.3,NA,NA,NA,12.3,"LC"
"5","Amazona amazonica","Amazona","amazonica","Orange-winged Amazon","Psittaciformes","Psittacidae",0,100,"FruiNect",0,310,320,320,NA,NA,22.7,NA,NA,NA,12.3,"LC"
"6","Amazona auropalliata","Amazona","auropalliata","Yellow-naped Amazon","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.088899975,350,360,360,NA,67,8,NA,NA,NA,11.7,"EN"
"7","Amazona bodini","Amazona","bodini","Festive Amazon","Psittaciformes","Psittacidae",0,60,"FruiNect",0.897945725,340,350,350,NA,NA,24.5,NA,NA,NA,12.3,"NT"
"8","Amazona dufresniana","Amazona","dufresniana","Blue-cheeked Amazon","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,340,NA,NA,22.42,NA,NA,NA,14.74,"NT"
"9","Amazona farinosa","Amazona","farinosa","Mealy Amazon","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,380,430,430,NA,NA,42.9,NA,NA,NA,12.3,"NT"
"10","Amazona festiva","Amazona","festiva","Festive Amazon","Psittaciformes","Psittacidae",0,60,"FruiNect",0.897945725,340,350,350,NA,NA,24.5,NA,NA,NA,12.3,"NT"
"11","Amazona finschi","Amazona","finschi","Lilac-crowned Amazon","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,305,345,345,NA,NA,25.8,NA,NA,46.74,13.44,"EN"
"12","Amazona guatemalae","Amazona","guatemalae","Northern mealy Amazon","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,380,400,400,50,100,100,NA,NA,NA,15.35,"NT"
"13","Amazona mercenarius","Amazona","mercenarius","Scaly-naped Amazon","Psittaciformes","Psittacidae",0,60,"FruiNect",0.897945725,330,340,340,NA,NA,6.57,NA,NA,NA,12.3,"LC"
"14","Amazona ochrocephala","Amazona","ochrocephala","Yellow-crowned Amazon","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.088899975,350,380,380,56,100,100,NA,NA,NA,12.3,"LC"
"15","Amazona oratrix","Amazona","oratrix","Yellow-headed Amazon","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.088899975,350,380,380,NA,NA,22.7,NA,NA,NA,19.84,"EN"
"16","Amazona pretrei","Amazona","pretrei","Red-spectacled Amazon","Psittaciformes","Psittacidae",0,80,"FruiNect",0.500402424,NA,NA,320,NA,NA,24.23,NA,NA,NA,12.3,"VU"
"17","Amazona tucumana","Amazona","tucumana","Tucuman Amazon","Psittaciformes","Psittacidae",0,30,"PlantSeed",1.088899975,NA,NA,310,NA,NA,26.19,NA,NA,NA,12.3,"VU"
